epoch,train_loss,val_loss
1,0.015126725508556541,0.014977866538636139
2,0.012456711107368361,0.015082577546169368
3,0.012286212531916332,0.014446790296266564
4,0.012229216896900272,0.014602977688791522
5,0.012200589701283883,0.014341718341687501
6,0.012167722260484714,0.01401979268948848
7,0.012133687293682765,0.014261087125819109
8,0.01212287537003575,0.014190909220841104
9,0.011940376467127662,0.013820061183350708
10,0.011921565403948927,0.01384272105477849
11,0.01192056527383365,0.014061570432683046
12,0.011788010279500976,0.013965537234479445
13,0.011778307805835258,0.013919092871412403
14,0.011703746342494019,0.013854819510305571
